Floor,Construction phase/Plan name,Length / cm,Width / cm,Height / cm,Geometry,Type,Number,Weight / kg
U1,BFS_88160_A_T_5_SP_U1_0005_06,44,29,30.0,rectangular,Wall,1,16.8
U1,BFS_88160_A_T_5_SP_U1_0005_06,44,37,30.0,rectangular,Wall,1,21.5
U1,BFS_88160_A_T_5_SP_U1_0005_06,50,20,30.0,rectangular,Wall,1,13.2
U1,BFS_88160_A_T_5_SP_U1_0005_06,50,25,30.0,rectangular,Wall,2,16.5
U1,BFS_88160_A_T_5_SP_U1_0005_06,50,40,30.0,rectangular,Wall,1,26.4
U1,BFS_88160_A_T_5_SP_U1_0005_06,50,55,30.0,rectangular,Wall,2,36.3
U1,BFS_88160_A_T_5_SP_U1_0005_06,55,25,30.0,rectangular,Wall,1,18.2
U1,BFS_88160_A_T_5_SP_U1_0005_06,60,20,35.0,rectangular,Wall,1,18.5
U1,BFS_88160_A_T_5_SP_U1_0005_06,60,30,30.0,rectangular,Wall,1,23.8
U1,BFS_88160_A_T_5_SP_U1_0005_06,64,29,30.0,rectangular,Wall,1,24.5
U1,BFS_88160_A_T_5_SP_U1_0005_06,70,20,30.0,rectangular,Wall,1,18.5
U1,BFS_88160_A_T_5_SP_U1_0005_06,70,30,30.0,rectangular,Wall,1,27.7
U1,BFS_88160_A_T_5_SP_U1_0005_06,90,32,30.0,rectangular,Wall,1,38.0
U1,BFS_88160_A_T_5_SP_U1_0005_06,100,45,30.0,rectangular,Wall,1,59.4
U1,BFS_88160_A_T_5_SP_U1_0005_06,115,80,30.0,rectangular,Wall,1,121.4
U1,BFS_88160_A_T_5_SP_U1_0005_06,125,125,30.0,rectangular,Wall,1,206.2
U1,BFS_88160_A_T_5_SP_U1_0005_06,130,130,25.0,rectangular,Wall,1,185.9
U1,BFS_88160_A_T_5_SP_U1_0005_06,135,155,30.0,rectangular,Wall,1,276.2
U1,BFS_88160_A_T_5_SP_U1_0005_06,190,64,30.0,rectangular,Wall,1,160.5
U1,BFS_88160_A_T_5_SP_U1_0005_06,205,35,30.0,rectangular,Wall,1,94.7
U1,BFS_88160_A_T_5_SP_U1_0005_06,6,6,30.0,round,Wall,5,0.4
U1,BFS_88160_A_T_5_SP_U1_0005_06,10,10,30.0,round,Wall,2,1.0
U1,BFS_88160_A_T_5_SP_U1_0005_06,15,15,30.0,round,Wall,2,2.3
U1,BFS_88160_A_T_5_SP_U1_0005_06,15,15,50.0,round,Wall,1,3.9
U1,BFS_88160_A_T_5_SP_U1_0005_06,20,20,30.0,round,Wall,3,4.1
U1,BFS_88160_A_T_5_SP_U1_0005_06,23,23,30.0,round,Wall,2,5.5
U1,BFS_88160_A_T_5_SP_U1_0005_06,25,25,25.0,round,Wall,1,5.4
U1,BFS_88160_A_T_5_SP_U1_0005_06,25,25,30.0,round,Wall,2,6.5
U1,BFS_88160_A_T_5_SP_U1_0005_06,30,30,30.0,round,Wall,2,9.3
U1,BFS_88160_A_T_5_SP_U1_0005_06,34,34,30.0,round,Wall,1,12.0
U1,BFS_88160_A_T_5_SP_U1_0006_06,6,6,25.0,round,Ceiling,1,0.3
U1,BFS_88160_A_T_5_SP_U1_0006_06,10,10,25.0,round,Ceiling,3,0.9
U1,BFS_88160_A_T_5_SP_U1_0006_06,10,10,30.0,round,Ceiling,1,1.0
U1,BFS_88160_A_T_5_SP_U1_0006_06,15,15,25.0,round,Ceiling,1,1.9
U1,BFS_88160_A_T_5_SP_U1_0006_06,15,15,30.0,round,Ceiling,2,2.3
U1,BFS_88160_A_T_5_SP_U1_0006_06,20,20,30.0,round,Ceiling,1,4.1
U1,BFS_88160_A_T_5_SP_U1_0006_06,25,25,25.0,round,Ceiling,1,5.4
U1,BFS_88160_A_T_5_SP_U1_0006_06,35,35,30.0,round,Ceiling,1,12.7
U1,BFS_88160_A_T_5_SP_U1_0006_06,39,39,25.0,round,Ceiling,1,13.1
U1,BFS_88160_A_T_5_SP_U1_0006_06,39,39,30.0,round,Ceiling,1,15.8
U1,BFS_88160_A_T_5_SP_U1_0006_06,50,50,25.0,round,Ceiling,2,21.6
U1,BFS_88160_A_T_5_SP_U1_0006_06,54,54,30.0,round,Ceiling,1,30.2
U1,BFS_88160_A_T_5_SP_U1_0006_06,64,64,30.0,round,Ceiling,1,42.5
U1,BFS_88160_A_T_5_SP_U1_0006_06,84,84,30.0,round,Ceiling,1,73.2
U1,BFS_88160_A_T_5_SP_U1_0006_06,94,94,25.0,round,Ceiling,1,76.3
U1,BFS_88160_A_T_5_SP_U1_0006_06,154,154,30.0,round,Ceiling,1,245.9
U1,BFS_88160_A_T_5_SP_U1_0006_06,160,160,30.0,round,Ceiling,1,265.4
U1,BFS_88160_A_T_5_SP_U1_0006_06,20,40,25.0,rectangular,Wall,1,8.8
U1,BFS_88160_A_T_5_SP_U1_0006_06,24,24,25.0,rectangular,Wall,4,6.3
U1,BFS_88160_A_T_5_SP_U1_0006_06,25,10,30.0,rectangular,Wall,2,3.3
U1,BFS_88160_A_T_5_SP_U1_0006_06,40,6,25.0,rectangular,Wall,2,2.6
U1,BFS_88160_A_T_5_SP_U1_0006_06,40,6,30.0,rectangular,Wall,1,3.2
U1,BFS_88160_A_T_5_SP_U1_0006_06,40,20,25.0,rectangular,Wall,2,8.8
U1,BFS_88160_A_T_5_SP_U1_0006_06,40,20,30.0,rectangular,Wall,2,10.6
U1,BFS_88160_A_T_5_SP_U1_0006_06,40,25,25.0,rectangular,Wall,2,11.0
U1,BFS_88160_A_T_5_SP_U1_0006_06,40,25,30.0,rectangular,Wall,2,13.2
U1,BFS_88160_A_T_5_SP_U1_0006_06,44,29,30.0,rectangular,Wall,2,16.8
U1,BFS_88160_A_T_5_SP_U1_0006_06,44,37,25.0,rectangular,Wall,1,17.9
U1,BFS_88160_A_T_5_SP_U1_0006_06,45,15,30.0,rectangular,Wall,1,8.9
U1,BFS_88160_A_T_5_SP_U1_0006_06,55,15,25.0,rectangular,Wall,1,9.1
U1,BFS_88160_A_T_5_SP_U1_0006_06,55,25,30.0,rectangular,Wall,1,18.2
U1,BFS_88160_A_T_5_SP_U1_0006_06,55,55,30.0,rectangular,Wall,1,39.9
U1,BFS_88160_A_T_5_SP_U1_0006_06,60,20,35.0,rectangular,Wall,1,18.5
U1,BFS_88160_A_T_5_SP_U1_0006_06,60,25,30.0,rectangular,Wall,1,19.8
U1,BFS_88160_A_T_5_SP_U1_0006_06,64,29,30.0,rectangular,Wall,1,24.5
U1,BFS_88160_A_T_5_SP_U1_0006_06,70,20,25.0,rectangular,Wall,1,15.4
U1,BFS_88160_A_T_5_SP_U1_0006_06,70,20,30.0,rectangular,Wall,2,18.5
U1,BFS_88160_A_T_5_SP_U1_0006_06,6,6,25.0,round,Wall,2,0.3
U1,BFS_88160_A_T_5_SP_U1_0006_06,10,10,25.0,round,Wall,1,0.9
U1,BFS_88160_A_T_5_SP_U1_0006_06,15,15,25.0,round,Wall,3,1.9
U1,BFS_88160_A_T_5_SP_U1_0006_06,15,15,30.0,round,Wall,1,2.3
U1,BFS_88160_A_T_5_SP_U1_0006_06,20,20,30.0,round,Wall,1,4.1
U1,BFS_88160_A_T_5_SP_U1_0006_06,23,23,30.0,round,Wall,1,5.5
U1,BFS_88160_A_T_5_SP_U1_0006_06,24,24,25.0,round,Wall,2,5.0
U1,BFS_88160_A_T_5_SP_U1_0006_06,24,24,30.0,round,Wall,2,6.0
U1,BFS_88160_A_T_5_SP_U1_0006_06,30,30,30.0,round,Wall,2,9.3
U1,BFS_88160_A_T_5_SP_U1_0006_06,34,34,30.0,round,Wall,2,12.0
